University,Abbreviation,Department,Course title,Unit,Professor,Objective,Prerequisite,Required Skills,Outcome,References,Scores,Description,Projects,University Homepage,Course Homepage,Professor Homepage
University of Newcastle,NU,"Architecture, Planning and Landscape",Planning Contexts,20,Dr Alexander Wilson,"This module introduces the hybridity of the planning context - political, economic, legal, others, and reflects on how planning is an expression of these different dimensions, and articulates its purposes utilising these framings. It introduces students to these contexts’ particular foundations and considerations and it utilises these disciplines, mechanisms and modes of operating to accommodate environmental and societal challenges (such as climate change, healthy living, etc.), and reflects on how planners, developers and designers have to respond to these different demands and accommodate these challenges in the proposals they produce.",,,,,,"Students will be introduced to key ideas through a lecturing format this will include introducing students to hybrid nature of planning, reflecting on its legal, political, economic, social framing, and how this shapes Planning’s ability to plan. This will then be applied through the lectures/workshop sessions to explore how these ideas occur in practice. Some content will be provided using online material ahead of the session.",The first assignment enables the students to reflect critically on the hybrid nature of the planning context and the second assignment enables students to consider how planning tackles significant societal challenges through the policy or development approval processes.,https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/apl/,
University of Newcastle,NU,"Architecture, Planning and Landscape",Participation: Theories & Practice,20,Mrs Armelle Tardiveau,"This module aims to get you to:
a.        Develop a critical appreciation of the contexts for participation and the possibilities for action that these can create.
b.        Explore and understand the traditions of participation theories that can be drawn upon to promote engagement activity, considering methodologies, actors involved, organisational and delivery requirements that these might generate. 
c.        Critically reflect on the value of one participatory approach or theme in its application to a chosen case study, considering the aims of the project the procedures used, the project outputs and the impact that it has generated in terms of it achieving its aims.
d.        Develop your skills of critical analysis of the narrative that supports a participatory approach, with a focus on one approach in particular.
e.    Develop skills in preparing and designing participatory processes within the limitations of the project case study and any extension of it. 
f.      Reflect on the value of the chosen methodologies for a wider audience/ for wider architectural, planning or creative practice.


Themes introduced will include amongst others: Collaborative planning, participatory design, the activist approach, co-production and design – collective making, collective learning, etc.",,,,,,"Initial lectures contextualise the theory that creates the framework for various participatory processes. Students will then choose one of the project themes that have emerged from the theory and will then undertake a close examination of its key principles with reference to an appropriate case study and relevant academic literature. Group research and pilot project, along with private study will promote an in-depth understanding of participatory processes and how different methodologies have been applied.  Group workshops and tutorials will support the students through this learning to a point where they are able to share their findings through to group presentation and individual essay.

Should the public health situation not allow for present in person teaching, the core content will be delivered through pre-recorded content and synchronous sessions, including weekly live online module talks, tutorials and drop-ins. The pre-recorded lecture materials will be complemented by learning activities as well as synchronous Q&A sessions.","Assignment One
Group presentation showcasing learning from the case study and related academic literature, in front of peer audience. Students need to demonstrate an understanding of participatory approaches and theories relevant to the case study, be able to unpack the key elements of the participatory process and reflect on the appropriateness and effectiveness of the approach. 

Assignment Two
Group pilot study report that highlights the concerns of the City Actor and the recommended approach to engaging with them in addressing these concerns, drawing on learning to date (2000 words)

Assignment Three
An individual essay reflecting on the appropriate participation theory in the context of the case study and how it has been informed by the pilot study (1500 words).",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/apl/,
University of Newcastle,NU,"Architecture, Planning and Landscape",Alternative Practice: Co-producing Space,20,Mr Daniel Mallo,"Alternative Practice: Co-producing Space explores the role of the socially engaged spatial practitioner in community-led place making. Through a semester long enquiry, students will work on a live project and engage with a real community aiming to understand, through first-hand experience, how people relate to places (their experience, stories, narratives) and how places can enhance sociability, connectedness and the desire of appropriation through different activities. The module asks students to engage in a participatory approach (drawing from APL2035) through a temporary intervention conceived as means of testing and trying new urban experiences and narratives. The delivery of the intervention will provide a physical setting for probing the future: a form of enactment that intensifies and invests a space with new dynamics, allowing new socio-spatial interactions. Through the process, students will be required to develop a critical approach as reflective practitioners, and engage in a learning process that revolves around knowing and doing in a continuous process of reflection-in-action.

Module aims:

•        To facilitate a community project or intervention.
•        To apply theories, histories, case studies and approaches learnt through the alternative practice and related modules.
•        To situate the community project in relation to arguments for intervention in the built environment and an understanding of processes for change and the role of professionals and others in achieving it.
•        To demonstrate an understanding of the complexities of issues and problems pertaining to co- production in the built environment.",,,,,,"Initial lecture introduces the module and will be followed-up with briefings at key stages in the project. On-line group tutorials and reviews allow students to gain from staff expertise and provide opportunities to discuss their particular co-production strategy. The fieldwork and private study enable students to gain an in-depth understanding of the site (through field visits) and community/stakeholders, and to follow up evidence in relation to it. It also provides time for students to reflect on key theoretical issues related to community engagement. Students will also need to organise their time/plan future actions, meet to discuss their various activities, and draw together their strategy and presentation (Group-learning).

Should the public health situation not allow for present in person teaching, the briefing sessions will be delivered in an online synchronous mode with weekly live module talks and drop-ins. Group tutorials and project reviews will move to synchronous online delivery with the support of online design platform Miro. Fieldwork will follow public health restrictions and engagement with communities will take place remotely.

Contact hours rationale: 38 contact hours. Students work on a live project and engage with a real community, this mode of delivery of design studio requires a higher level of student support.","The co-production project addresses a real issue in a real community - usually in the North-East - and is conducted in conjunction with a community group.
Students work in groups and their work includes the design, planning, detailing and/or making of a live intervention for community engagement. This tests the students' ability to understand a community and evaluate the issues at work, as well as articulate a co-produced spatial intervention (through a range of different media including visuals, models, engagement probes or prototypes), and to reflect individually on the achievements/challenges/limitations of their engagement and/or intervention project.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/apl/,
University of Newcastle,NU,"Architecture, Planning and Landscape",Introduction to Architecture,20,Professor Katie Lloyd Thomas,"To enable students to:

Develop an awareness of the history, principles and theories of architecture, and their contribution to present and past environments.

Recognise how architecture and its composition, representation, making and materiality has been shaped by technological, social, political, economic, geographic and cultural forces, and by the principles and theories of architecture - present and past.

Understand historic works of architecture and developments in the history of ideas, science and art as part of the continuum of architectural culture within which contemporary architects operate, and to begin incorporating these into design projects.

To appreciate different modes of architectural writing and to critically communicate understanding of architectural history, principles and theory in written and graphic form, using appropriate media and academic research and referencing methods.",,,,,,"In semester 1 a mixture of scheduled and structured activities, including recorded mini lectures, reading and skills based tasks to be carried out individually and in small student groups around a theme (eg. ‘at home’, ‘architecture and power’, ‘production and exchange’) enable students to build their knowledge of architecture and develop the skills to locate and evaluate information independently. Themes can be responsive to staff specialisms and changing teaching situations and timetables. Structured activities are supported by directed and independent reading, and skills practice between module activity days, and towards the end of the semester by assessment preparation. Weekly 2 hr synchronous sessions comprise a mix of module talk, lecture and academic skills activities that can either be conducted in person and recorded in session, or if necessary transferred to a mix of online synchronous and pre-recorded talks.

In semester 2 a 4 week teaching block is more focussed on reading, researching and writing skills, preparing students for their essay submission after Easter.  Module meetings and pre-recorded mini lectures, as well as structured individual and group activities support 3 seminars in which students discuss readings and review carefully staged tasks towards their essay writing. Weekly 1 hr synchronous sessions comprise a mix of module talk and academic skills activities that can either be conducted in person and recorded in session, or if necessary transferred to a mix of online synchronous and pre-recorded talks.

Synchronous v Non-synchronous Hours: While there is both synchronous and non-synchronous learning and teaching activity for all modules, across the programme the structured guided learning is weighted towards non-design modules and the scheduled learning and teaching activity hours are weighted towards Architectural Design modules. The latter is a reflection of a) design studio pedagogy, which is centred on a dialogic and responsive approach to students’ own research and creative work and b) student feedback and high student attendance at weekly online Architectural Design Stage briefings (module talks) during the period of lockdown teaching in Spring 2020. Architectural pedagogy is reliant on a high proportion of independent learning to support the design process. The MOF hours are consistent with this approach.","The poster – or pamphlet explaining a historical walk - is produced individually and assesses student’s ability to access, and interpret information about buildings in context, to construct a narrative about relationships that demonstrates understanding of their history and significance, and to communicate their analysis and ideas using graphic techniques.  Elements of the walk are selected and researched on a weekly basis in response to themes discussed in teaching sessions, and brought together in the final submission in week 8. 

The essay (semester 2) appraises their understanding of themes introduced during the module and their capacity to consider buildings in terms of their historical and social context, and assesses their ability to produce a clearly written and illustrated essay using academic research and referencing methods.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/apl/,
University of Newcastle,NU,"Architecture, Planning and Landscape",Architectural Representation 2,10,Dr Carlos Calderon,"The aims of the module are to enable students to process, transform and communicate information.
In particular to introduce:
Digital modes and communication methods appropriate to particular circumstances and architectural tasks
Digital representation techniques  and principles for graphical and visual media
Basic  to  advanced  computing   skills   in   an architectural context
Core study and workplace computer skills
The subject area involves an ongoing increasing proportion of the syllabus as the course progresses. This module concentrates  upon  the digital skills  used in the essential process of communicating design ideas to multiple audiences.   The module draws upon the use of digital tools and methods in professional practice to exemplify effective digital communication strategies at various stages in a student’s professional development.",,,,,,"The topics are explored through lectures, presentations, demonstrations, workshops, exercises and assignments with supporting sessions. Most aspects are also demonstrated, explored and tested in workshop topics, assessments and presentations during the follow-up ARC1001 project work. 
Specifically, digital representation methods are taught using dedicated workshops, and one to one and small group tutorials. The learnt techniques are applied to communicating architectural ideas through digital media.  Workshops and tutorials complement weekly lectures where concepts are explained to support developing a digital communication strategy for architectural representation. During the lectures, academic concepts are first introduced and then supported by examples in architectural practice.
Due to uncertainties around room ventilation provision, cluster access etc, the expectation is that the delivery of the module will be blended, with workshops and larger-group teaching taking place on-line. If the provision allows, we will timetable some opportunities for building ‘attendance’ – mainly to provide opportunities for student peer-learning","A structured approach to 2D CAD drawings, 3D computer modelling, image manipulation, and rendered videos is assessed. Digital skills for architectural communication culminating in the production of 2D, 3D, and time-based digital representations. Additionally, a log-book is submitted to assess robustness of processes when developing a digital communication strategy.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/apl/,
University of Newcastle,NU,"Architecture, Planning and Landscape","About Architecture: Cities, Cultures and Space",20,Dr Edward Wainwright,"To enable students to:
Develop an awareness of theories and ideas from a range of disciplines relating to architecture,
cities, space, ecologies and the production of the built environment.
Recognise how factors surrounding the practice of architecture, such as planning, regulation,
economy, diverse cultures, ways of living and thinking about the world, influence both the production
of the built environment and the values it forms and perpetuates.
Appreciate the complex interplay between architects’  designs, techniques and practices and their
theoretical approaches, principles and political aspirations (such as ecology, participation, diversity,
critique) in architectural cultures since the late 19th century to the present day.
Inform and strengthen the theoretical basis on which students develop design approaches and take
Decisions in an ethical, responsible and adaptive manner.",,,,,,"Teaching in semester one is by means of weekly blocks 2.5 hour lecture sessions. These will be in-person, with 1 hour dedicated to subject introduction and close reading of texts led by lecturer. 1 hour will be a continuation of last years ‘zoom-interviews’ - which will take place either with an interviewed guest in conversation in person, or via zoom to the lecture theatre. This enables us to invite guests from across the world, as has happened in 2020/21, but with a live ‘in-person’ audience. This structured interview in the lecture theatre will be followed by a half hour Q+A with invited guest.

These in-person event will be supported by one hour per week of pre-recorded content that takes students on a virtual tour of a city, exploring thematic content in relation to real world examples. These will be in twenty minute sections and relate to the content of the in-person lecture and interview.

Seminars will be delivered in-person where allowed, with 1 hour per block, allowing students to explore a key thematic text with an academic colleague. 

Online discussion groups will remain, with canvas used to file and respond to lecture questions and module information as the semester progresses.

In the event of further public health measures, all of this content and student engagement can move online as in academic year 2020/21.

In semester two students follow a themed seminar series chosen from a selection on offer, that supports their emerging dissertation interests. These are research-led weekly seminars from APL staff from the range of disciplines in architecture, from humanities and social sciences to creative practice and technology. Students are expected to augment this knowledge by reading and exploring other sources of information. These are expected to move back to in-person delivery, with the use of remote learning technology where appropriate.","Essay
The essay assesses students’ overview and knowledge of the syllabus and their ability to consider the built environment in relation to some of the theories and ideas they have been introduced to, and to access and synthesise materials and evidence to support their arguments.

In recognition of the nature of the essay as an 'in-process' development tool for thinking, and not an end in itself, the assessment considers the process of developing ideas on the page: partial and positional work, open-ended propositional writing, citational practices, and the exploration of textual space and writerly modes.

ARC2020
Additionally, this module informs the students' work in the assessment-exempt module, ARC2020 Dissertation Studies and Research Methods.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/apl/,
University of Newcastle,NU,"Architecture, Planning and Landscape",Elective Research,15,Professor Zeynep Kezer,"To enable students to:

Develop an awareness of theories and ideas in a specialist field of architectural, spatial or urban thinking relating to the production and design of architecture, cities and landscapes.

Inform and strengthen the theoretical basis on which students develop design approaches and take decisions.

Introduce students to a range of research methodologies, critical appraisal, research and study skills through lectures

Support the development of their individual area of interest and research through tutorials",,,,,,"Students follow a themed elective seminar series chosen from a selection on offer, that supports their emerging research interests. These are research-led weekly seminars from APL staff from the range of disciplines in architecture, from humanities and social sciences to creative practice and technology. Students are expected to augment this knowledge by reading and exploring other sources of information. In addition their research is supported by research skills lectures and seminar based tutorials developing their essay.

PIP hours can be modified to synchronous online learning easily if needed.","The oral presentation takes place at the end of the elective seminar series, and assesses students’ ability to synthesise seminar themes, plan and present a verbal argument. The elective essay assesses students’ ability to consider spatial and architectural issues in relation to some of the theories and ideas they have been introduced to develop and present with supporting materials and evidence their own related research interest.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/apl/,
University of Newcastle,NU,"Architecture, Planning and Landscape",Architectural Design 2.1,30,Mr Kieran Connolly,"This module aims to:

1. Develop your design skills and abilities through project-based learning.

2. Develop your understanding of ethical considerations and professional competencies integral to contemporary architectural design practice.

3. Develop your communication and representation skills using visual, verbal, and written methods.

4. Broaden your understanding of design methods, practices, and techniques, and provide you with opportunities to experiment with these methods, practices, and techniques through project-based learning.

5. Broaden your understanding of prominent and important topics, ideas, and agendas shaping contemporary architectural design practice.

6. Provide you with opportunities to work both independently and collectively in small peer and study groups.

7. Provide you with opportunities to synthesise and integrate knowledge, learning, and skill outcomes from parallel modules you may be enrolled on during exchange at Newcastle University.",,,,,,"Scheduled learning and teaching activities are largely delivered through small group teaching. You will meet with a small group of peers and a design tutor on a weekly basis during both Semester 1 and 2 in order to discuss the development of your response to project briefs. The delivery of these small group teaching sessions can take a number forms, from seminar style discussions through to more structured oral presentations. Small group teaching sessions operate as the primary teaching and learning activities of the module, aiding development of module learning learning and skills outcomes through regular dialogue with both design tutor(s) and peers.

Small group teaching activities are further supported by other scheduled learning and teaching activities including lectures, module talks, and workshops that explore related module and project themes and aid the development of both module and project specific learning and skill outcomes. 

Throughout the course of the module, you will be expected to conduct both structured guided learning and guided independent study to assist the development of a coherent and fully documented response and submission to both Semester 1 and 2 project briefs and assessments. Both structured guided learning and guided independent learning should reflect and respond to discussions and dialogue conducted during weekly scheduled learning and teaching activities with your peers, design tutor(s), module leader(s), and invited guest contributors e.g. reviewers or guest lecturers. 

Note regarding Covid-19 delivery of 'present-in-person' contact hours:

Present-in-person contact hours are provided through regular lectures (20 hours), module talks (20 hours), small group teaching sessions (66 hours), and associated academic, research, and design skills workshops (20 hours). All of this synchronous teaching can alternatively be delivered online dependent on external factors and circumstances.","Summative assessment will take place at the end Semester 2. Each project submission is awarded a final grade (0-100) that constitutes the final overall module grade.

The assessment criteria for Semester 2 project submissions are based on the learning outcomes and assessment criteria outlined in respective project briefs. The assessment criteria in all design projects broadly integrates the following expectations:

- demonstration of a considered and thorough design process offering a clear relationship to a declared design proposition.
- evidence of engagement with ethical and professional considerations that assist design decision-making.
- declaration of a design proposition.
- integration of construction design technology covering structural, material, environmental, and ecological considerations.
- application of a range of representation techniques to coherently communicate both a design process and a design proposition.

At certain interim points in each semester, you will receive formative feedback indicating broad performance to assist you with further developing project submissions that are consistent with project assessment criteria.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/apl/,
University of Newcastle,NU,"Architecture, Planning and Landscape",ARC2097: Architectural Technology 2.1: Construction in Detail (Semester 1),15,Mr Simon Hacker,"1.        The key aim is to demonstrate to students that ‘design’ and ‘technology’ are two sides of the same coin.
2.        Within the present context of climate emergency, the module seeks to demonstrate the relevance and impact that sustainable building technologies, constructional methods, material choices and ‘design’ in the broader sense, all have in relation to both natural and man-made environments.
3.        To introduce the idea of architectural design being about the ‘whole’ (i.e. a building that responds to a particular place and context and addresses a programmatic-based set of requirements) and that, whilst this is a common starting-point, consideration must also be given (and may sometimes commence with) the ‘parts’ (constructional materials, elements, components, junctions and details).
4.        To introduce a number of common constructional systems, with a focus on the sequence of building construction (the layering of materials within elements and the timing of when things happen) and the importance of constructional junctions and details (how and why things come together, are fixed and joined).
5.        To reinforce previously learned structural principles, to increase the understanding of structural ‘orders’, and to consider the spatial implications of different structural systems.
6.        To introduce relevant legislation, codes of practice and issues surrounding design and constructional health and safety.
7.        To highlight building and constructional realisation as being a fundamentally collaborative and group endeavour.",,,,,,"The proposal for 2021/22 is based around re-using the newly prepared video resources, along with some of the associated scaffolding activities (mainly structured research and reading), all delivered non-synchronously. The module ‘sign-posting’ talks will move to become scheduled fortnightly live ‘in-person’ sessions and in Semester 1, each of these will link to a new scheduled live ‘in-person’ Symposium session (forming a series of 4 in total). Each of the Symposium sessions will address a Climate Emergency theme and seek to relate these to the ongoing non-synchronous lecture videos and supporting research and reading – each Symposium is likely to include contributions from guest speakers (some of them remote geographically) and each will incorporate student group discussion and presentations. 

Following feedback from the current cohort, the workshop provision will be increased slightly from the 2020/21 provision, although, following very positive feedback from the staff in relation to levels of student preparation and interaction, they will continue to be delivered on-line. The supporting on-line student-led workshop preparatory sessions will also be retained. 

---

Summary of ‘Present in person’ provision: 
The (roughly) fortnightly Module Talks and Symposiums will be scheduled live ‘in-person’ activities – a total of 14 hours across the 2 semesters.

Summary of Synchronous v Non-synchronous Hours:
There are both synchronous (24.5 hours in total across the 2 semesters) and non-synchronous (29 hours in total across the 2 semesters) Learning & Teaching Activities. The core lecture material will be delivered non-synchronously (as a series of 45 x 20 minute videos). 

Summary of Plan ‘B’ – i.e. Fall-back position in the event of future lock-downs etc:
The scheduled ‘present in person’ activities (Module Talks and Symposiums – a total of 14 hours across the 2 semesters) will move to become scheduled on-line activities, delivered via Teams/Zoom, if the need arises.","In the light of the intended knowledge and skills outcomes the 100% coursework assessment allows a strong linkage between technology understanding and the personally developed design work in the studio. The assessment is a portfolio submission, with students submitting sections at points throughout Semester 1.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/apl/,
University of Newcastle,NU,"Architecture, Planning and Landscape","About Architecture: Cities, Cultures and Space (Semester 1)",15,Dr Edward Wainwright,"To enable students to:
Develop an awareness of theories and ideas from a range of disciplines relating to architecture,
cities, space and the production of the built environment.
Recognise how factors external to the practice of architecture, such as planning, regulation,
economy, diverse cultures, ways of living and thinking about the world, influence both the production
of the built environment and the frameworks we use to evaluate it.
Appreciate the complex interplay between architects’  designs, techniques and practices and their
theoretical approaches, principles and political aspirations (such as ecology, participation, diversity,
critique) in architectural cultures since the late 19th century to the present day.
Inform and strengthen the theoretical basis on which students develop design approaches and take
decisions",,,,,,"Teaching is by means of weekly blocks 2.5 hour lecture sessions. These will be in-person, with 1 hour dedicated to subject introduction and close reading of texts led by lecturer. 1 hour will be a continuation of last years ‘zoom-interviews’ - which will take place either with an interviewed guest in conversation in person, or via zoom to the lecture theatre. This enables us to invite guests from across the world, as has happened in 2020/21, but with a live ‘in-person’ audience. This structured interview in the lecture theatre will be followed by a half hour Q+A with invited guest.

These in-person event will be supported by one hour per week of pre-recorded content that takes students on a virtual tour of a city, exploring thematic content in relation to real world examples. These will be in twenty minute sections and relate to the content of the in-person lecture and interview.

Seminars will be delivered in-person where allowed, with 1 hour per block, allowing students to explore a key thematic text with an academic colleague. 

Online discussion groups and fora will remain, with canvas used to file and respond to lecture questions and module information as the semester progresses.

In the event of further public health measures, all of this content and student engagement can move online as in academic year 2020/21.","The essay assesses students’ overview and knowledge of the syllabus and their ability to consider the built environment in relation to some of the theories and ideas they have been introduced to, and to access and synthesise materials and evidence to support their arguments.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/apl/,
